Tahun,NAMOBJ,WADMKK,luas_total_km2,vegetasi_km2,vegetasi_pct,tubuh_air_km2,tubuh_air_pct,lahan_terbangun_km2,lahan_terbangun_pct,lahan_terbuka_km2,lahan_terbuka_pct
2004,Banguntapan,Bantul,28.41951806,20.5698283,72.37922985,0.263984612,0.928884901,5.862710271,20.62916851,1.722994877,6.062716732
2004,Bantul,Bantul,21.80665708,20.44332112,93.74807449,0.027874049,0.127823577,1.061934534,4.869772245,0.273527374,1.254329689
2004,Berbah,Sleman,25.04620459,21.86370215,87.29347422,0.089029403,0.355460655,1.393934695,5.565452801,1.699538346,6.785612327
2004,Cangkringan,Sleman,48.62721596,45.62505338,93.82616808,0.641157052,1.318514825,1.37772029,2.833228805,0.970208881,1.995197262
2004,Danurejan,Kota Yogyakarta,1.068303758,0.006201568,0.580506037,0.002056764,0.192526144,1.0193306,95.41580214,0.040714826,3.811165682
2004,Depok,Sleman,32.12120046,15.94465529,49.63903919,0.205794736,0.640681957,13.70888825,42.67862985,2.261862193,7.041649004
2004,Gamping,Sleman,29.11178622,23.22624996,79.78297789,0.471301042,1.618935501,4.695437917,16.12899285,0.718797298,2.469093763
2004,Gedongtengen,Kota Yogyakarta,0.942360865,0.021193102,2.248936932,0.001837899,0.195031302,0.877795012,93.14850013,0.041534853,4.407531638
2004,Godean,Sleman,26.74955973,23.50602776,87.87444725,0.232241322,0.868206147,2.309739402,8.634681933,0.701551252,2.622664667
2004,Gondokusuman,Kota Yogyakarta,4.055542786,0.229530126,5.659664762,0.063187838,1.558061187,3.581801705,88.31867629,0.181023117,4.463597759
2004,Gondomanan,Kota Yogyakarta,1.072507251,0.022293918,2.078672931,0.008859214,0.826028319,0.983727621,91.722235,0.057626498,5.373063752
2004,Jetis,Bantul,23.52780964,21.73546878,92.38203265,0.703479464,2.989991309,0.537408865,2.284143206,0.551452528,2.343832836
2004,Jetis,Kota Yogyakarta,1.778561716,0.038964998,2.190815078,3.86E-04,0.021683458,1.700482622,95.60998676,0.038728443,2.177514702
2004,Kalasan,Sleman,35.82102976,29.11181665,81.27018358,0.190098278,0.530689038,3.298867505,9.20930394,3.22024733,8.989823439
2004,Kasihan,Bantul,32.09275592,25.70628472,80.09996021,0.130295353,0.405996149,5.363314013,16.71191476,0.892861831,2.78212888
