NAMOBJ,WADMKK,min,max,mean,Tahun,Zona
Tegalrejo,Kota Yogyakarta,0.063961077,0.752774149,0.369170191,2004,Urban
Turi,Sleman,0.121289125,0.91226606,0.758064133,2004,Rural
Umbulharjo,Kota Yogyakarta,0.052167481,0.766175176,0.371696308,2004,Urban
Wirobrajan,Kota Yogyakarta,0.134603419,0.738678715,0.353032696,2004,Urban
Banguntapan,Bantul,0.035251869,0.822879714,0.472035304,2009,Urban
Bantul,Bantul,0.051140634,0.784933413,0.518630912,2009,Rural
Berbah,Sleman,-0.029958221,0.820643969,0.522031264,2009,Rural
Cangkringan,Sleman,-0.024752734,0.873573404,0.69193063,2009,Rural
Danurejan,Kota Yogyakarta,0.067108613,0.547142236,0.243811005,2009,Urban
Depok,Sleman,0.020402497,0.824881293,0.419381479,2009,Urban
Gamping,Sleman,0.021767625,0.794854364,0.52007982,2009,Urban
Gedongtengen,Kota Yogyakarta,0.091809274,0.626691005,0.259550286,2009,Urban
Godean,Sleman,0.061162346,0.814392355,0.551683434,2009,Urban
Gondokusuman,Kota Yogyakarta,0.046883862,0.662775951,0.288882515,2009,Urban
Gondomanan,Kota Yogyakarta,0.016554239,0.663176468,0.239337573,2009,Urban
Jetis,Bantul,-0.033716005,0.81123502,0.55837298,2009,Rural
Jetis,Kota Yogyakarta,0.060899787,0.68087132,0.265465668,2009,Urban
Kalasan,Sleman,0.038514223,0.810653642,0.522128629,2009,Rural
Kasihan,Bantul,0.029401718,0.841356714,0.524503385,2009,Urban
Kotagede,Kota Yogyakarta,0.084143013,0.747922841,0.369633371,2009,Urban
Kraton,Kota Yogyakarta,0.085461241,0.578112474,0.309912608,2009,Urban
Mantrijeron,Kota Yogyakarta,0.088500664,0.721237081,0.341933632,2009,Urban
Mergangsan,Kota Yogyakarta,0.085461241,0.748659676,0.303205158,2009,Urban
Minggir,Sleman,-0.066614788,0.859992763,0.578444764,2009,Rural
Mlati,Sleman,0.035928073,0.824834349,0.525361297,2009,Urban
Moyudan,Sleman,-0.134557974,0.843117381,0.587510089,2009,Rural
Ngaglik,Sleman,-0.001603198,0.819778627,0.523705824,2009,Urban
Ngampilan,Kota Yogyakarta,0.091826513,0.741867919,0.2870898,2009,Urban
Ngemplak,Sleman,0.026721772,0.819778627,0.556026061,2009,Urban
Pajangan,Bantul,-0.220177212,0.821178564,0.577327806,2009,Rural
Pakem,Sleman,-0.013798073,0.881702558,0.666383996,2009,Rural
Pakualaman,Kota Yogyakarta,0.12491482,0.66208344,0.264300156,2009,Urban
Piyungan,Bantul,0.01147758,0.815102857,0.532357628,2009,Rural
Pleret,Bantul,0.050107122,0.806850008,0.535714262,2009,Rural
Sedayu,Bantul,-0.204444375,0.815149201,0.580942139,2009,Rural
Sewon,Bantul,0.010456319,0.805321178,0.499784406,2009,Urban
Seyegan,Sleman,0.194231303,0.82833157,0.584803119,2009,Rural
Sleman,Sleman,0.041868346,0.828813455,0.572953584,2009,Rural
Tegalrejo,Kota Yogyakarta,0.056464056,0.69288302,0.343269594,2009,Urban
Turi,Sleman,0.12400539,0.88975981,0.735792966,2009,Rural
Umbulharjo,Kota Yogyakarta,0.027195085,0.744779021,0.350022143,2009,Urban
Wirobrajan,Kota Yogyakarta,0.1305831,0.741867919,0.328589331,2009,Urban
Banguntapan,Bantul,0.047470654,0.84917684,0.511962486,2014,Urban
Bantul,Bantul,0.082144519,0.868611393,0.557024125,2014,Rural
Berbah,Sleman,0.065611686,0.843381755,0.586500202,2014,Rural
Cangkringan,Sleman,-0.025556371,0.927677349,0.689710766,2014,Rural
Danurejan,Kota Yogyakarta,0.050320519,0.655900675,0.284882993,2014,Urban
Depok,Sleman,0.036707004,0.853060716,0.444254769,2014,Urban
Gamping,Sleman,0.057518788,0.866603235,0.557925802,2014,Urban
Gedongtengen,Kota Yogyakarta,0.100988762,0.678858233,0.28305598,2014,Urban
Godean,Sleman,0.102453817,0.846439147,0.579616744,2014,Urban
Gondokusuman,Kota Yogyakarta,0.036747173,0.774268453,0.328254906,2014,Urban
Gondomanan,Kota Yogyakarta,0.066103622,0.717768878,0.275800154,2014,Urban
Jetis,Bantul,0.131794866,0.858616283,0.603432479,2014,Rural
Jetis,Kota Yogyakarta,0.043114793,0.703566037,0.291639632,2014,Urban
Kalasan,Sleman,0.064209918,0.865243515,0.557196861,2014,Rural
Kasihan,Bantul,0.050493785,0.834386732,0.56331497,2014,Urban
Kotagede,Kota Yogyakarta,0.038713433,0.858926214,0.400564226,2014,Urban
Kraton,Kota Yogyakarta,0.113442724,0.613113411,0.328319626,2014,Urban
Mantrijeron,Kota Yogyakarta,0.100268119,0.827009393,0.368252697,2014,Urban
Mergangsan,Kota Yogyakarta,0.057386347,0.764729901,0.336613052,2014,Urban
