tahun,total_luas_km2,vegetasi_km2,vegetasi_pct,tubuh_air_km2,tubuh_air_pct,lahan_terbangun_km2,lahan_terbangun_pct,lahan_terbuka_km2,lahan_terbuka_pct
1999,791.0740198,628.1350304,79.40281373,12.00187802,1.517162455,111.3857961,14.0803254,38.57098282,4.875774182
2004,791.0740198,659.037375,83.30919212,7.558286882,0.955446228,93.10615865,11.76958873,31.09691022,3.930973518
2009,791.0740198,664.4325151,83.99119406,3.75705727,0.474931192,100.7365615,12.73415116,22.1478859,2.799723584
2014,791.0740198,524.6263577,66.31823882,1.820301622,0.230105095,201.5083199,25.47275159,63.11284261,7.978121014
2019,791.0740198,571.7659785,72.27717813,6.336193522,0.800960892,179.3044469,22.66595064,33.66474246,4.255574272
2024,791.0740198,504.7606552,63.807007,1.828831109,0.231183311,191.2043917,24.17022768,93.21699736,11.78359989
2029,791.0740198,499.7331938,63.17148349,1.087412536,0.137460277,235.109763,29.72032416,54.31497953,6.865979437
