LST,NDBI,NDMI,NDVI,latitude,longitude,.geo
30.57869056,-0.195232377,0.195232377,0.657373011,-7.609086801,110.4596657,"{""type"":""Point"",""coordinates"":[110.45966572420203,-7.6090868011433805]}"
36.49822698,-0.19276917,0.19276917,0.698274672,-7.833369171,110.2515074,"{""type"":""Point"",""coordinates"":[110.25150739333829,-7.833369171246459]}"
39.48281834,-0.01587061,0.01587061,0.361085415,-7.882017206,110.276894,"{""type"":""Point"",""coordinates"":[110.27689402990562,-7.882017205782662]}"
34.65263577,-0.123314321,0.123314321,0.484147787,-7.702943468,110.3802103,"{""type"":""Point"",""coordinates"":[110.3802103178288,-7.7029434679789235]}"
33.93350129,-0.197851867,0.197851867,0.719933331,-7.624437399,110.4477405,"{""type"":""Point"",""coordinates"":[110.44774049076703,-7.624437399317774]}"
36.40654806,-0.42258668,0.42258668,0.819957078,-7.87827322,110.364287,"{""type"":""Point"",""coordinates"":[110.36428696869503,-7.8782732199277765]}"
35.3426561,-0.31168288,0.31168288,0.754618883,-7.668072458,110.4617148,"{""type"":""Point"",""coordinates"":[110.46171478975276,-7.668072458092858]}"
35.8115751,-0.348641753,0.348641753,0.811984479,-7.757441712,110.2251084,"{""type"":""Point"",""coordinates"":[110.22510838740119,-7.757441712057819]}"
34.53822097,-0.216984853,0.216984853,0.61573863,-7.649959152,110.3585647,"{""type"":""Point"",""coordinates"":[110.35856469378443,-7.649959151717012]}"
39.97151806,-0.052372102,0.052372102,0.540888727,-7.836992437,110.2349828,"{""type"":""Point"",""coordinates"":[110.23498278045645,-7.8369924367140475]}"
40.04747266,-0.253245235,0.253245235,0.698374629,-7.728034094,110.3314501,"{""type"":""Point"",""coordinates"":[110.3314501034736,-7.728034093912808]}"
41.86598995,0.089565732,-0.089565732,0.370591968,-7.837560884,110.3520254,"{""type"":""Point"",""coordinates"":[110.35202538699767,-7.83756088425724]}"
32.65216723,-0.356118202,0.356118202,0.757907987,-7.639179324,110.413535,"{""type"":""Point"",""coordinates"":[110.41353504778137,-7.63917932400967]}"
39.1946854,-0.28142482,0.28142482,0.684142709,-7.811341231,110.4816004,"{""type"":""Point"",""coordinates"":[110.48160038683507,-7.811341231174275]}"
24.24353145,-0.377167851,0.377167851,0.837284625,-7.570898257,110.4244896,"{""type"":""Point"",""coordinates"":[110.42448957856419,-7.570898256852803]}"
40.32804964,0.039258111,-0.039258111,0.443475306,-7.878485689,110.2775257,"{""type"":""Point"",""coordinates"":[110.27752571163832,-7.878485689024517]}"
36.82231158,-0.212175891,0.212175891,0.685314357,-7.829359928,110.243152,"{""type"":""Point"",""coordinates"":[110.24315195372486,-7.829359927837564]}"
37.45848826,-0.146042019,0.146042019,0.627479494,-7.846203264,110.4689265,"{""type"":""Point"",""coordinates"":[110.46892650222362,-7.846203264138122]}"
36.63607887,-0.223353952,0.223353952,0.624382377,-7.740055899,110.3185704,"{""type"":""Point"",""coordinates"":[110.31857044604864,-7.740055899293534]}"
43.9234899,-0.017079933,0.017079933,0.487482399,-7.818794159,110.3697742,"{""type"":""Point"",""coordinates"":[110.36977421522789,-7.818794159386468]}"
31.72518066,-0.313537121,0.313537121,0.74525696,-7.644042478,110.4343724,"{""type"":""Point"",""coordinates"":[110.43437242464672,-7.644042478463999]}"
38.39872069,-0.14596498,0.14596498,0.595464826,-7.856544443,110.2511746,"{""type"":""Point"",""coordinates"":[110.25117462208352,-7.856544443466447]}"
32.33717486,-0.334816873,0.334816873,0.821944416,-7.611961808,110.3801835,"{""type"":""Point"",""coordinates"":[110.38018351863714,-7.61196180836657]}"
42.37055201,0.012000464,-0.012000464,0.407685876,-7.738968137,110.3885464,"{""type"":""Point"",""coordinates"":[110.38854643610246,-7.738968137043335]}"
41.36664341,0.027704395,-0.027704395,0.30255422,-7.766232315,110.4699644,"{""type"":""Point"",""coordinates"":[110.46996443015014,-7.766232314823733]}"
45.86430911,0.06338387,-0.06338387,0.393007755,-7.809782708,110.3606378,"{""type"":""Point"",""coordinates"":[110.36063782231793,-7.809782708347466]}"
37.12465142,-0.310969591,0.310969591,0.773901641,-7.737127581,110.4265606,"{""type"":""Point"",""coordinates"":[110.42656057893255,-7.737127580841773]}"
40.23182998,-0.12970832,0.12970832,0.583182752,-7.886930743,110.4122152,"{""type"":""Point"",""coordinates"":[110.41221518652283,-7.886930742717244]}"
39.23315484,-0.314608961,0.314608961,0.736256361,-7.839681543,110.3992233,"{""type"":""Point"",""coordinates"":[110.399223311475,-7.839681543064433]}"
36.48357184,-0.191510305,0.191510305,0.533060134,-7.709296911,110.4448775,"{""type"":""Point"",""coordinates"":[110.44487747162091,-7.709296911168566]}"
41.57540564,-0.080995962,0.080995962,0.602075636,-7.867488521,110.3942076,"{""type"":""Point"",""coordinates"":[110.39420757989866,-7.867488521471336]}"
34.60127985,-0.172562912,0.172562912,0.578428924,-7.737235295,110.2904901,"{""type"":""Point"",""coordinates"":[110.29049006747536,-7.737235294792332]}"
40.27782936,-0.069229886,0.069229886,0.475534827,-7.867448469,110.3460042,"{""type"":""Point"",""coordinates"":[110.34600420425672,-7.867448468522727]}"
32.85510113,-0.313788801,0.313788801,0.838449955,-7.633216738,110.3852556,"{""type"":""Point"",""coordinates"":[110.38525559325534,-7.633216738404537]}"
38.66072811,-0.295487553,0.295487553,0.667139769,-7.886577993,110.3629171,"{""type"":""Point"",""coordinates"":[110.36291711164178,-7.886577992525551]}"
34.3361031,-0.193817213,0.193817213,0.698309183,-7.82945413,110.2965086,"{""type"":""Point"",""coordinates"":[110.29650858820503,-7.829454130263605]}"
39.25973166,-0.223912254,0.223912254,0.70481211,-7.819992516,110.478565,"{""type"":""Point"",""coordinates"":[110.47856496984573,-7.819992515549465]}"
42.08431276,-0.084437057,0.084437057,0.519475162,-7.801644883,110.2737158,"{""type"":""Point"",""coordinates"":[110.27371579466977,-7.801644882774576]}"
35.90931597,-0.381569058,0.381569058,0.784501314,-7.770990075,110.2718021,"{""type"":""Point"",""coordinates"":[110.27180212739292,-7.770990074553366]}"
36.1345181,-0.249072298,0.249072298,0.69633311,-7.862244262,110.3201857,"{""type"":""Point"",""coordinates"":[110.32018566255825,-7.8622442624540225]}"
34.79130806,-0.343908548,0.343908548,0.810989916,-7.685053136,110.4322123,"{""type"":""Point"",""coordinates"":[110.43221234855845,-7.685053135556516]}"
41.04156567,-0.123144396,0.123144396,0.544645846,-7.881112448,110.3091126,"{""type"":""Point"",""coordinates"":[110.3091126122643,-7.881112448107371]}"
42.37003017,-0.034362964,0.034362964,0.471676827,-7.895776309,110.2796258,"{""type"":""Point"",""coordinates"":[110.27962578316736,-7.895776309082075]}"
42.90232793,0.08118175,-0.08118175,0.332823306,-7.829184928,110.3725007,"{""type"":""Point"",""coordinates"":[110.37250074612442,-7.829184927910035]}"
35.5253691,-0.307355553,0.307355553,0.698477387,-7.700853235,110.3041949,"{""type"":""Point"",""coordinates"":[110.30419486936229,-7.70085323453517]}"
37.82428919,-0.060626052,0.060626052,0.51078701,-7.710478401,110.3217962,"{""type"":""Point"",""coordinates"":[110.32179618728443,-7.710478401431085]}"
39.0575793,-0.19956772,0.19956772,0.682965517,-7.900470382,110.3431435,"{""type"":""Point"",""coordinates"":[110.3431435422553,-7.900470382013689]}"
35.97910152,-0.283159047,0.283159047,0.728474557,-7.711229107,110.3232142,"{""type"":""Point"",""coordinates"":[110.32321417763826,-7.711229107092166]}"
35.80037492,-0.225704923,0.225704923,0.743191242,-7.828162401,110.5119839,"{""type"":""Point"",""coordinates"":[110.51198389502844,-7.82816240074746]}"
35.65078156,-0.244611248,0.244611248,0.693550289,-7.718291009,110.3126738,"{""type"":""Point"",""coordinates"":[110.31267380013286,-7.718291009449709]}"
37.57441941,-0.236723706,0.236723706,0.635756552,-7.800853822,110.4648697,"{""type"":""Point"",""coordinates"":[110.46486971660154,-7.800853821637049]}"
38.86769768,-0.171933755,0.171933755,0.563484907,-7.851716479,110.3826537,"{""type"":""Point"",""coordinates"":[110.38265373180387,-7.851716479097354]}"
24.77789552,-0.365354747,0.365354747,0.865893185,-7.570070633,110.4190908,"{""type"":""Point"",""coordinates"":[110.41909076394504,-7.5700706332307055]}"
32.99375445,-0.276542395,0.276542395,0.754047871,-7.667740361,110.3429592,"{""type"":""Point"",""coordinates"":[110.34295919885868,-7.667740361009548]}"
36.19456369,-0.202378094,0.202378094,0.691584051,-7.699028994,110.4401229,"{""type"":""Point"",""coordinates"":[110.44012285892222,-7.69902899371124]}"
29.78489424,-0.257574469,0.257574469,0.662086725,-7.608521076,110.3920294,"{""type"":""Point"",""coordinates"":[110.39202938141356,-7.608521076132403]}"
39.4042297,0.037192229,-0.037192229,0.463425368,-7.875045064,110.3082208,"{""type"":""Point"",""coordinates"":[110.30822084419209,-7.875045063870205]}"
34.55570904,-0.393956095,0.393956095,0.806866765,-7.831616629,110.4871337,"{""type"":""Point"",""coordinates"":[110.48713369536874,-7.831616628714963]}"
31.32800232,-0.32583037,0.32583037,0.809500039,-7.649545474,110.4637341,"{""type"":""Point"",""coordinates"":[110.46373407839334,-7.6495454735695505]}"
34.77660556,-0.192891374,0.192891374,0.681328774,-7.747795415,110.2750512,"{""type"":""Point"",""coordinates"":[110.27505120728077,-7.747795415406696]}"
41.09654568,0.033455804,-0.033455804,0.366256744,-7.691151197,110.3430121,"{""type"":""Point"",""coordinates"":[110.34301210596831,-7.691151196780629]}"
34.36877733,-0.364525676,0.364525676,0.8474406,-7.690554038,110.4643961,"{""type"":""Point"",""coordinates"":[110.46439612370108,-7.690554037897156]}"
35.594101,-0.232165307,0.232165307,0.603409529,-7.697613785,110.3732962,"{""type"":""Point"",""coordinates"":[110.37329619232796,-7.69761378467774]}"
39.27159986,-0.04122781,0.04122781,0.552675545,-7.855262403,110.4533635,"{""type"":""Point"",""coordinates"":[110.45336354060328,-7.855262402909473]}"
35.25607108,-0.309094697,0.309094697,0.732007742,-7.740729814,110.2201447,"{""type"":""Point"",""coordinates"":[110.22014473312575,-7.740729814153427]}"
34.22860997,-0.164028436,0.164028436,0.571482837,-7.67408752,110.3890685,"{""type"":""Point"",""coordinates"":[110.38906853713128,-7.67408751973361]}"
39.85028385,-0.115385532,0.115385532,0.582775295,-7.837383781,110.2332666,"{""type"":""Point"",""coordinates"":[110.23326657169514,-7.837383780946496]}"
32.95559158,-0.223232701,0.223232701,0.730195344,-7.60723184,110.3827173,"{""type"":""Point"",""coordinates"":[110.38271725674961,-7.607231840450724]}"
40.05988634,-0.004762035,0.004762035,0.527186394,-7.871114843,110.3986743,"{""type"":""Point"",""coordinates"":[110.39867434721931,-7.871114843299749]}"
39.80097164,-0.039345711,0.039345711,0.40818727,-7.88520837,110.3407998,"{""type"":""Point"",""coordinates"":[110.34079977522848,-7.885208370047135]}"
35.63787157,-0.224934861,0.224934861,0.660031617,-7.753664973,110.3064487,"{""type"":""Point"",""coordinates"":[110.30644868410567,-7.753664972538705]}"
34.35090467,-0.22379373,0.22379373,0.653412104,-7.720193208,110.2974573,"{""type"":""Point"",""coordinates"":[110.29745727624491,-7.720193208117743]}"
43.0245579,-0.073258035,0.073258035,0.45597893,-7.832546371,110.4802718,"{""type"":""Point"",""coordinates"":[110.48027183453874,-7.8325463713158445]}"
39.0712028,-0.026714113,0.026714113,0.497828156,-7.867728311,110.322071,"{""type"":""Point"",""coordinates"":[110.32207098296614,-7.867728311136895]}"
36.53085012,-0.289464086,0.289464086,0.703402698,-7.860496225,110.4475949,"{""type"":""Point"",""coordinates"":[110.44759487956638,-7.860496224595411]}"
38.53923007,-0.264524996,0.264524996,0.639630854,-7.73442332,110.3858829,"{""type"":""Point"",""coordinates"":[110.38588288188029,-7.734423319695575]}"
35.1671891,-0.228594154,0.228594154,0.605312407,-7.718189221,110.2600188,"{""type"":""Point"",""coordinates"":[110.26001882562146,-7.7181892213178225]}"
33.06949004,-0.356339127,0.356339127,0.743791521,-7.702045085,110.3551932,"{""type"":""Point"",""coordinates"":[110.3551932391525,-7.7020450851685665]}"
41.08279522,0.041408606,-0.041408606,0.287834138,-7.74314745,110.4123182,"{""type"":""Point"",""coordinates"":[110.4123182332141,-7.743147450181355]}"
