ndmiLandsat,ndmiSentinel
0.31735924,0.197243
-0.027855068,-0.17960587
0.39704904,0.30128208
-0.059789944,-0.08040074
0.30413106,0.23553711
0.33684048,0.29943925
-0.02679455,-0.11140582
-0.17835732,-0.20492746
0.33546472,0.26924172
0.1470573,0.01531455
-0.10766371,-0.09906579
0.2738679,0.18963869
0.24237998,0.105513416
0.35823545,0.26985392
0.27193823,0.21879406
0.09709665,0.13786985
0.2725333,0.23071626
-0.027091125,-0.03300384
0.35534045,0.22054605
0.10146304,0.06542855
0.3291208,0.19055858
-0.062843494,-0.1708028
0.2379396,0.17606056
0.18082002,0.08460231
0.24649623,0.25838372
0.22597338,0.20515068
0.20863777,0.050646607
0.065610886,0.047495913
0.2147768,0.166783
0.024327025,-0.07430245
-0.0720813,-0.15635334
0.13471334,0.17733365
0.31592956,0.21536823
-0.08612538,-0.1753911
0.25588298,0.2454806
0.4428983,0.32777098
-0.09400929,-0.19088915
0.19582337,0.072034255
0.3515652,0.27493322
0.22578761,0.18344022
-0.057073545,-0.18375841
0.24176154,0.20070305
0.26362908,0.20647566
0.056146536,0.13015239
-0.011678571,-0.008999516
0.3033858,0.2827252
0.08599628,0.013608281
0.2608807,0.22622591
0.22395347,0.15612541
0.3433885,0.23248859
-0.049147397,-0.16018598
0.25185782,0.18372387
0.31003046,0.23029543
0.16405214,0.13776623
0.021830594,-0.020832574
0.35062277,0.23768556
0.30777615,0.2712563
0.059229676,0.001557462
-0.09963434,-0.15694144
0.015710477,-0.006581773
0.050593775,-0.06920659
0.2690219,0.20107806
0.113083206,0.07526104
-0.069979124,-0.116846666
0.26933756,0.17102472
0.15301543,0.12777798
0.22107556,0.19075017
0.29491955,0.09938023
0.35525018,0.28253624
0.27439213,0.2409009
-0.022733055,-0.1300032
0.24846189,0.15859292
0.038853623,-0.018420016
0.24138404,0.21645083
0.36968565,0.24475479
0.049244057,0.029832201
0.1384994,0.06901142
0.18406413,0.1274423
0.08921737,-0.025048092
-0.13947876,-0.21777408
0.33027688,0.18749967
0.04138409,0.049008835
