NAMOBJ,WADMKK,max,mean,min,Tahun,Zona
Jetis,Bantul,0.571052324,0.229365571,-0.154571004,2004,Rural
Jetis,Kota Yogyakarta,0.265623213,-0.08127851,-0.312379422,2004,Urban
Kalasan,Sleman,0.467510348,0.168960793,-0.206581791,2004,Rural
Kasihan,Bantul,0.492192312,0.152001519,-0.274829922,2004,Urban
Kotagede,Kota Yogyakarta,0.395529474,0.009980064,-0.272082238,2004,Urban
Kraton,Kota Yogyakarta,0.204082578,-0.081669741,-0.354263855,2004,Urban
Mantrijeron,Kota Yogyakarta,0.330429456,-0.019516595,-0.21860819,2004,Urban
Mergangsan,Kota Yogyakarta,0.346823964,-0.049930923,-0.253734536,2004,Urban
Minggir,Sleman,0.622215428,0.252533343,-0.166518255,2004,Rural
Mlati,Sleman,0.435324009,0.169767921,-0.302279095,2004,Urban
Moyudan,Sleman,0.672345289,0.229011092,-0.166518255,2004,Rural
Ngaglik,Sleman,0.444331389,0.1780303,-0.270036796,2004,Urban
Ngampilan,Kota Yogyakarta,0.352465781,-0.104130827,-0.237447365,2004,Urban
Ngemplak,Sleman,0.466375456,0.204547766,-0.192770439,2004,Urban
Pajangan,Bantul,0.61089766,0.16305372,-0.208283397,2004,Rural
Pakem,Sleman,0.624442297,0.242883441,-0.288456989,2004,Rural
Pakualaman,Kota Yogyakarta,0.25545676,-0.092135902,-0.239887905,2004,Urban
Piyungan,Bantul,0.427117569,0.138261372,-0.26400545,2004,Rural
Pleret,Bantul,0.501851173,0.152492716,-0.206087324,2004,Rural
Sedayu,Bantul,0.689745476,0.214816731,-0.185957098,2004,Rural
Sewon,Bantul,0.519745877,0.189911402,-0.285120373,2004,Urban
Seyegan,Sleman,0.461201826,0.220222145,-0.145064616,2004,Rural
Sleman,Sleman,0.464507537,0.207047798,-0.569427167,2004,Rural
Tegalrejo,Kota Yogyakarta,0.333167117,-0.002266921,-0.268627964,2004,Urban
Turi,Sleman,0.501453855,0.28573653,-0.235143409,2004,Rural
Umbulharjo,Kota Yogyakarta,0.401193987,0.02508149,-0.299511834,2004,Urban
Wirobrajan,Kota Yogyakarta,0.352465781,-0.046378786,-0.248319366,2004,Urban
Banguntapan,Bantul,0.580024262,0.10366853,-0.316626189,2009,Urban
Bantul,Bantul,0.441293393,0.11479059,-0.253786506,2009,Rural
Berbah,Sleman,0.578284727,0.136531508,-0.289586872,2009,Rural
Cangkringan,Sleman,0.486318256,0.26395768,-0.225303165,2009,Rural
Danurejan,Kota Yogyakarta,0.215090822,-0.095571991,-0.266022171,2009,Urban
Depok,Sleman,0.462512819,0.043822309,-0.480531331,2009,Urban
Gamping,Sleman,0.604852609,0.139893727,-0.360906667,2009,Urban
Gedongtengen,Kota Yogyakarta,0.215090822,-0.093093217,-0.256851795,2009,Urban
Godean,Sleman,0.499346346,0.163105418,-0.287852917,2009,Urban
Gondokusuman,Kota Yogyakarta,0.262619044,-0.053498248,-0.245784639,2009,Urban
Gondomanan,Kota Yogyakarta,0.311709323,-0.079772532,-0.301728156,2009,Urban
Jetis,Bantul,0.573115876,0.186530066,-0.187286089,2009,Rural
Jetis,Kota Yogyakarta,0.228378664,-0.083929582,-0.315470614,2009,Urban
Kalasan,Sleman,0.460844142,0.134886734,-0.291000466,2009,Rural
Kasihan,Bantul,0.471760894,0.122432181,-0.328582548,2009,Urban
Kotagede,Kota Yogyakarta,0.399382539,-0.014885062,-0.27599122,2009,Urban
Kraton,Kota Yogyakarta,0.19707673,-0.086183164,-0.345706789,2009,Urban
Mantrijeron,Kota Yogyakarta,0.339445193,-0.040464756,-0.221604436,2009,Urban
Mergangsan,Kota Yogyakarta,0.39022386,-0.049871789,-0.244042344,2009,Urban
Minggir,Sleman,0.576119195,0.204992943,-0.174520064,2009,Rural
Mlati,Sleman,0.487840915,0.133949728,-0.304544219,2009,Urban
Moyudan,Sleman,0.52026181,0.198942834,-0.174520064,2009,Rural
Ngaglik,Sleman,0.443185952,0.120452215,-0.232940581,2009,Urban
Ngampilan,Kota Yogyakarta,0.329467845,-0.106268569,-0.233786723,2009,Urban
Ngemplak,Sleman,0.458743192,0.151109289,-0.226218878,2009,Urban
Pajangan,Bantul,0.548947277,0.153362734,-0.458979143,2009,Rural
Pakem,Sleman,0.59458177,0.23196607,-0.555225257,2009,Rural
Pakualaman,Kota Yogyakarta,0.29557008,-0.098100693,-0.227500514,2009,Urban
Piyungan,Bantul,0.437598858,0.109487505,-0.335490622,2009,Rural
Pleret,Bantul,0.453601933,0.115335393,-0.392026699,2009,Rural
Sedayu,Bantul,0.550503202,0.181827984,-0.215012741,2009,Rural
Sewon,Bantul,0.516213348,0.124729834,-0.278390361,2009,Urban
Seyegan,Sleman,0.492726432,0.193501459,-0.213961814,2009,Rural
Sleman,Sleman,0.529052773,0.158659407,-0.312606212,2009,Rural
Tegalrejo,Kota Yogyakarta,0.310847625,-0.025653726,-0.283609179,2009,Urban
Turi,Sleman,0.457071916,0.273923751,-0.215975498,2009,Rural
Umbulharjo,Kota Yogyakarta,0.422429778,0.007491626,-0.253323503,2009,Urban
Wirobrajan,Kota Yogyakarta,0.329467845,-0.061526484,-0.23074334,2009,Urban
Banguntapan,Bantul,0.511287367,0.119090994,-0.236232501,2014,Urban
Bantul,Bantul,0.538765266,0.162183488,-0.284573373,2014,Rural
Berbah,Sleman,0.436396748,0.168550094,-0.225451378,2014,Rural
Cangkringan,Sleman,0.516277078,0.264158651,-0.819096965,2014,Rural
Danurejan,Kota Yogyakarta,0.313969303,-0.0669064,-0.241730098,2014,Urban
Depok,Sleman,0.449685911,0.061537634,-0.28648711,2014,Urban
Gamping,Sleman,0.448691866,0.154640837,-0.345838173,2014,Urban
Gedongtengen,Kota Yogyakarta,0.313969303,-0.064878178,-0.202190549,2014,Urban
Godean,Sleman,0.475225845,0.177667845,-0.244459693,2014,Urban
Gondokusuman,Kota Yogyakarta,0.310704142,-0.027420255,-0.246643317,2014,Urban
Gondomanan,Kota Yogyakarta,0.285758623,-0.057953945,-0.239511156,2014,Urban
Jetis,Bantul,0.521286051,0.214272594,-0.140435487,2014,Rural
Jetis,Kota Yogyakarta,0.248061783,-0.058704226,-0.270926111,2014,Urban
Kalasan,Sleman,0.514826632,0.156962328,-0.235198209,2014,Rural
Kasihan,Bantul,0.456454047,0.14807138,-0.243485968,2014,Urban
Kotagede,Kota Yogyakarta,0.446494002,0.001779744,-0.237194466,2014,Urban
Kraton,Kota Yogyakarta,0.209806466,-0.061905191,-0.271868049,2014,Urban
Mantrijeron,Kota Yogyakarta,0.379503841,-0.023654327,-0.21820202,2014,Urban
Mergangsan,Kota Yogyakarta,0.397539121,-0.03933636,-0.241731358,2014,Urban
Minggir,Sleman,0.513463606,0.21797083,-0.12976488,2014,Rural
Mlati,Sleman,0.475947597,0.146488548,-0.329702738,2014,Urban
Moyudan,Sleman,0.432071484,0.21567741,-0.133152135,2014,Rural
Ngaglik,Sleman,0.527219033,0.153274649,-0.225870484,2014,Urban
Ngampilan,Kota Yogyakarta,0.306004886,-0.079884099,-0.211768556,2014,Urban
Ngemplak,Sleman,0.450656592,0.184831281,-0.182351334,2014,Urban
Pajangan,Bantul,0.516154909,0.20431438,-0.266464307,2014,Rural
Pakem,Sleman,0.563697142,0.264084992,-0.252305676,2014,Rural
Pakualaman,Kota Yogyakarta,0.182789639,-0.067441479,-0.200019631,2014,Urban
Piyungan,Bantul,0.434439894,0.160673532,-0.283244185,2014,Rural
Pleret,Bantul,0.491710776,0.162229015,-0.189454242,2014,Rural
Sedayu,Bantul,0.503692762,0.218656352,-0.244754051,2014,Rural
Sewon,Bantul,0.509350104,0.142004436,-0.28419145,2014,Urban
Seyegan,Sleman,0.503806315,0.216531279,-0.174504922,2014,Rural
Sleman,Sleman,0.445341978,0.179214176,-0.314389143,2014,Rural
Tegalrejo,Kota Yogyakarta,0.425674013,-0.004646253,-0.255811151,2014,Urban
Turi,Sleman,0.480375084,0.303235597,-0.194671011,2014,Rural
Umbulharjo,Kota Yogyakarta,0.488412654,0.00778155,-0.251265677,2014,Urban
Wirobrajan,Kota Yogyakarta,0.306004886,-0.037045207,-0.212146939,2014,Urban
Banguntapan,Bantul,0.485482516,0.093209066,-0.280628039,2019,Urban
Bantul,Bantul,0.430427439,0.154742242,-0.374288893,2019,Rural
Berbah,Sleman,0.462358928,0.154871566,-0.328310093,2019,Rural
Cangkringan,Sleman,0.490782362,0.259510319,-0.940327505,2019,Rural
Danurejan,Kota Yogyakarta,0.300009741,-0.08389967,-0.227659233,2019,Urban
Depok,Sleman,0.451584517,0.037429119,-0.284666098,2019,Urban
Gamping,Sleman,0.445288588,0.128190163,-0.359960163,2019,Urban
Gedongtengen,Kota Yogyakarta,0.300009741,-0.079932721,-0.236887603,2019,Urban
Godean,Sleman,0.465878114,0.152672029,-0.249553745,2019,Urban
Gondokusuman,Kota Yogyakarta,0.317911523,-0.051384581,-0.26918446,2019,Urban
Gondomanan,Kota Yogyakarta,0.287855305,-0.072627445,-0.247457674,2019,Urban
Jetis,Bantul,0.543317199,0.17971581,-0.20137053,2019,Rural
Jetis,Kota Yogyakarta,0.378147829,-0.074370698,-0.271933382,2019,Urban
Kalasan,Sleman,0.536473227,0.149691039,-0.269281584,2019,Rural
Kasihan,Bantul,0.466165533,0.122550812,-0.279295769,2019,Urban
Kotagede,Kota Yogyakarta,0.437498692,-0.037203882,-0.270059152,2019,Urban
Kraton,Kota Yogyakarta,0.204182355,-0.083235514,-0.291127469,2019,Urban
Mantrijeron,Kota Yogyakarta,0.388066892,-0.05817134,-0.223513193,2019,Urban
Mergangsan,Kota Yogyakarta,0.349194538,-0.064308851,-0.23798301,2019,Urban
Minggir,Sleman,0.539497725,0.208155069,-0.196887269,2019,Rural
Mlati,Sleman,0.439359557,0.127362813,-0.327462609,2019,Urban
Moyudan,Sleman,0.53006274,0.197859678,-0.192039016,2019,Rural
Ngaglik,Sleman,0.457943078,0.133481478,-0.272475594,2019,Urban
Ngampilan,Kota Yogyakarta,0.333410474,-0.102571339,-0.226124014,2019,Urban
Ngemplak,Sleman,0.460477884,0.181381884,-0.277745533,2019,Urban
Pajangan,Bantul,0.483597411,0.173091278,-0.25435771,2019,Rural
Pakem,Sleman,0.581232186,0.251674647,-0.278853584,2019,Rural
Pakualaman,Kota Yogyakarta,0.174678141,-0.083453817,-0.220818518,2019,Urban
Piyungan,Bantul,0.464183114,0.158219506,-0.263784272,2019,Rural
Pleret,Bantul,0.465106775,0.142109117,-0.222573672,2019,Rural
Sedayu,Bantul,0.532007482,0.197419411,-0.258444653,2019,Rural
Sewon,Bantul,0.439494055,0.12018965,-0.285767027,2019,Urban
Seyegan,Sleman,0.450648251,0.190861553,-0.224147347,2019,Rural
Sleman,Sleman,0.458117252,0.16296246,-0.281455753,2019,Rural
Tegalrejo,Kota Yogyakarta,0.382977613,-0.036256494,-0.260595146,2019,Urban
Turi,Sleman,0.473033107,0.285610137,-0.197908513,2019,Rural
Umbulharjo,Kota Yogyakarta,0.408502854,-0.020755111,-0.313879545,2019,Urban
Wirobrajan,Kota Yogyakarta,0.333410474,-0.064881948,-0.241377475,2019,Urban
Banguntapan,Bantul,0.469697054,0.087493498,-0.324221518,2024,Urban
Bantul,Bantul,0.476371495,0.148073744,-0.350348852,2024,Rural
Berbah,Sleman,0.478841702,0.169094194,-0.306855748,2024,Rural
