NAMOBJ,WADMKK,max,mean,min,Tahun,Zona
Sewon,Bantul,0.285120373,-0.189911402,-0.519745877,2004,Urban
Seyegan,Sleman,0.145064616,-0.220222145,-0.461201826,2004,Rural
Sleman,Sleman,0.569427166,-0.207047798,-0.464507537,2004,Rural
Tegalrejo,Kota Yogyakarta,0.268627964,0.002266921,-0.333167117,2004,Urban
Turi,Sleman,0.235143409,-0.28573653,-0.501453855,2004,Rural
Umbulharjo,Kota Yogyakarta,0.299511834,-0.02508149,-0.401193987,2004,Urban
Wirobrajan,Kota Yogyakarta,0.248319366,0.046378786,-0.352465781,2004,Urban
Banguntapan,Bantul,0.316626189,-0.10366853,-0.580024262,2009,Urban
Bantul,Bantul,0.253786506,-0.11479059,-0.441293393,2009,Rural
Berbah,Sleman,0.289586872,-0.136531508,-0.578284727,2009,Rural
Cangkringan,Sleman,0.225303165,-0.263957679,-0.486318256,2009,Rural
Danurejan,Kota Yogyakarta,0.266022171,0.095571991,-0.215090822,2009,Urban
Depok,Sleman,0.480531331,-0.043822309,-0.462512819,2009,Urban
Gamping,Sleman,0.360906667,-0.139893727,-0.604852609,2009,Urban
Gedongtengen,Kota Yogyakarta,0.256851795,0.093093217,-0.215090822,2009,Urban
Godean,Sleman,0.287852917,-0.163105418,-0.499346346,2009,Urban
Gondokusuman,Kota Yogyakarta,0.245784639,0.053498248,-0.262619044,2009,Urban
Gondomanan,Kota Yogyakarta,0.301728156,0.079772532,-0.311709323,2009,Urban
Jetis,Bantul,0.187286089,-0.186530066,-0.573115876,2009,Rural
Jetis,Kota Yogyakarta,0.315470613,0.083929582,-0.228378664,2009,Urban
Kalasan,Sleman,0.291000466,-0.134886734,-0.460844142,2009,Rural
Kasihan,Bantul,0.328582548,-0.122432181,-0.471760894,2009,Urban
Kotagede,Kota Yogyakarta,0.27599122,0.014885062,-0.399382539,2009,Urban
Kraton,Kota Yogyakarta,0.345706789,0.086183164,-0.19707673,2009,Urban
Mantrijeron,Kota Yogyakarta,0.221604436,0.040464756,-0.339445193,2009,Urban
Mergangsan,Kota Yogyakarta,0.244042343,0.049871789,-0.39022386,2009,Urban
Minggir,Sleman,0.174520064,-0.204992943,-0.576119195,2009,Rural
Mlati,Sleman,0.304544219,-0.133949728,-0.487840915,2009,Urban
Moyudan,Sleman,0.174520064,-0.198942834,-0.52026181,2009,Rural
Ngaglik,Sleman,0.232940581,-0.120452215,-0.443185952,2009,Urban
Ngampilan,Kota Yogyakarta,0.233786723,0.106268569,-0.329467845,2009,Urban
Ngemplak,Sleman,0.226218878,-0.151109289,-0.458743192,2009,Urban
Pajangan,Bantul,0.458979143,-0.153362734,-0.548947277,2009,Rural
Pakem,Sleman,0.555225257,-0.23196607,-0.59458177,2009,Rural
Pakualaman,Kota Yogyakarta,0.227500514,0.098100693,-0.29557008,2009,Urban
Piyungan,Bantul,0.335490622,-0.109487505,-0.437598858,2009,Rural
Pleret,Bantul,0.392026699,-0.115335393,-0.453601933,2009,Rural
Sedayu,Bantul,0.215012741,-0.181827984,-0.550503202,2009,Rural
Sewon,Bantul,0.278390361,-0.124729834,-0.516213348,2009,Urban
Seyegan,Sleman,0.213961814,-0.193501459,-0.492726432,2009,Rural
Sleman,Sleman,0.312606212,-0.158659407,-0.529052773,2009,Rural
Tegalrejo,Kota Yogyakarta,0.283609179,0.025653726,-0.310847625,2009,Urban
Turi,Sleman,0.215975498,-0.273923751,-0.457071916,2009,Rural
Umbulharjo,Kota Yogyakarta,0.253323503,-0.007491626,-0.422429778,2009,Urban
Wirobrajan,Kota Yogyakarta,0.23074334,0.061526484,-0.329467845,2009,Urban
Banguntapan,Bantul,0.236232501,-0.119090994,-0.511287367,2014,Urban
Bantul,Bantul,0.284573373,-0.162183488,-0.538765266,2014,Rural
Berbah,Sleman,0.225451378,-0.168550094,-0.436396748,2014,Rural
Cangkringan,Sleman,0.819096965,-0.264158651,-0.516277077,2014,Rural
Danurejan,Kota Yogyakarta,0.241730098,0.0669064,-0.313969303,2014,Urban
Depok,Sleman,0.28648711,-0.061537634,-0.449685911,2014,Urban
Gamping,Sleman,0.345838173,-0.154640836,-0.448691866,2014,Urban
Gedongtengen,Kota Yogyakarta,0.202190549,0.064878178,-0.313969303,2014,Urban
Godean,Sleman,0.244459693,-0.177667845,-0.475225845,2014,Urban
Gondokusuman,Kota Yogyakarta,0.246643317,0.027420255,-0.310704142,2014,Urban
Gondomanan,Kota Yogyakarta,0.239511156,0.057953945,-0.285758622,2014,Urban
Jetis,Bantul,0.140435487,-0.214272594,-0.521286051,2014,Rural
Jetis,Kota Yogyakarta,0.270926111,0.058704226,-0.248061783,2014,Urban
Kalasan,Sleman,0.235198209,-0.156962328,-0.514826632,2014,Rural
Kasihan,Bantul,0.243485968,-0.148071379,-0.456454047,2014,Urban
Kotagede,Kota Yogyakarta,0.237194466,-0.001779744,-0.446494002,2014,Urban
Kraton,Kota Yogyakarta,0.271868049,0.061905191,-0.209806466,2014,Urban
Mantrijeron,Kota Yogyakarta,0.21820202,0.023654327,-0.379503841,2014,Urban
Mergangsan,Kota Yogyakarta,0.241731358,0.03933636,-0.397539121,2014,Urban
Minggir,Sleman,0.12976488,-0.21797083,-0.513463606,2014,Rural
Mlati,Sleman,0.329702738,-0.146488548,-0.475947597,2014,Urban
Moyudan,Sleman,0.133152135,-0.21567741,-0.432071484,2014,Rural
Ngaglik,Sleman,0.225870483,-0.153274649,-0.527219033,2014,Urban
Ngampilan,Kota Yogyakarta,0.211768556,0.079884099,-0.306004886,2014,Urban
Ngemplak,Sleman,0.182351334,-0.184831281,-0.450656592,2014,Urban
Pajangan,Bantul,0.266464307,-0.20431438,-0.516154909,2014,Rural
Pakem,Sleman,0.252305676,-0.264084992,-0.563697142,2014,Rural
Pakualaman,Kota Yogyakarta,0.200019631,0.067441479,-0.182789639,2014,Urban
Piyungan,Bantul,0.283244185,-0.160673532,-0.434439894,2014,Rural
Pleret,Bantul,0.189454242,-0.162229015,-0.491710776,2014,Rural
Sedayu,Bantul,0.244754051,-0.218656352,-0.503692762,2014,Rural
Sewon,Bantul,0.28419145,-0.142004436,-0.509350104,2014,Urban
Seyegan,Sleman,0.174504921,-0.216531278,-0.503806315,2014,Rural
Sleman,Sleman,0.314389143,-0.179214176,-0.445341978,2014,Rural
Tegalrejo,Kota Yogyakarta,0.255811151,0.004646253,-0.425674013,2014,Urban
Turi,Sleman,0.194671011,-0.303235597,-0.480375084,2014,Rural
Umbulharjo,Kota Yogyakarta,0.251265677,-0.00778155,-0.488412654,2014,Urban
Wirobrajan,Kota Yogyakarta,0.212146939,0.037045207,-0.306004886,2014,Urban
Banguntapan,Bantul,0.280628039,-0.093209066,-0.485482516,2019,Urban
Bantul,Bantul,0.374288893,-0.154742242,-0.430427439,2019,Rural
Berbah,Sleman,0.328310093,-0.154871566,-0.462358928,2019,Rural
Cangkringan,Sleman,0.940327505,-0.259510319,-0.490782362,2019,Rural
Danurejan,Kota Yogyakarta,0.227659233,0.08389967,-0.300009741,2019,Urban
Depok,Sleman,0.284666098,-0.037429119,-0.451584517,2019,Urban
Gamping,Sleman,0.359960163,-0.128190163,-0.445288588,2019,Urban
Gedongtengen,Kota Yogyakarta,0.236887603,0.079932721,-0.300009741,2019,Urban
Godean,Sleman,0.249553745,-0.152672029,-0.465878114,2019,Urban
Gondokusuman,Kota Yogyakarta,0.26918446,0.051384581,-0.317911523,2019,Urban
Gondomanan,Kota Yogyakarta,0.247457674,0.072627445,-0.287855305,2019,Urban
Jetis,Bantul,0.20137053,-0.17971581,-0.543317198,2019,Rural
Jetis,Kota Yogyakarta,0.271933382,0.074370698,-0.378147829,2019,Urban
Kalasan,Sleman,0.269281584,-0.149691039,-0.536473227,2019,Rural
Kasihan,Bantul,0.279295769,-0.122550812,-0.466165533,2019,Urban
Kotagede,Kota Yogyakarta,0.270059152,0.037203882,-0.437498692,2019,Urban
Kraton,Kota Yogyakarta,0.291127469,0.083235514,-0.204182355,2019,Urban
Mantrijeron,Kota Yogyakarta,0.223513193,0.05817134,-0.388066892,2019,Urban
Mergangsan,Kota Yogyakarta,0.237983009,0.064308851,-0.349194538,2019,Urban
Minggir,Sleman,0.196887269,-0.208155069,-0.539497725,2019,Rural
Mlati,Sleman,0.327462609,-0.127362813,-0.439359557,2019,Urban
Moyudan,Sleman,0.192039016,-0.197859678,-0.53006274,2019,Rural
Ngaglik,Sleman,0.272475594,-0.133481478,-0.457943078,2019,Urban
Ngampilan,Kota Yogyakarta,0.226124014,0.102571339,-0.333410474,2019,Urban
Ngemplak,Sleman,0.277745533,-0.181381884,-0.460477884,2019,Urban
Pajangan,Bantul,0.25435771,-0.173091278,-0.483597411,2019,Rural
Pakem,Sleman,0.278853584,-0.251674647,-0.581232186,2019,Rural
Pakualaman,Kota Yogyakarta,0.220818518,0.083453817,-0.174678141,2019,Urban
Piyungan,Bantul,0.263784272,-0.158219506,-0.464183114,2019,Rural
Pleret,Bantul,0.222573672,-0.142109117,-0.465106775,2019,Rural
Sedayu,Bantul,0.258444653,-0.197419411,-0.532007482,2019,Rural
Sewon,Bantul,0.285767027,-0.12018965,-0.439494055,2019,Urban
Seyegan,Sleman,0.224147347,-0.190861553,-0.450648251,2019,Rural
Sleman,Sleman,0.281455753,-0.16296246,-0.458117252,2019,Rural
Tegalrejo,Kota Yogyakarta,0.260595146,0.036256494,-0.382977613,2019,Urban
Turi,Sleman,0.197908513,-0.285610137,-0.473033107,2019,Rural
Umbulharjo,Kota Yogyakarta,0.313879545,0.020755111,-0.408502854,2019,Urban
Wirobrajan,Kota Yogyakarta,0.241377475,0.064881948,-0.333410474,2019,Urban
Banguntapan,Bantul,0.324221518,-0.087493498,-0.469697054,2024,Urban
Bantul,Bantul,0.350348852,-0.148073744,-0.476371495,2024,Rural
Berbah,Sleman,0.306855747,-0.169094194,-0.478841702,2024,Rural
Cangkringan,Sleman,0.453856247,-0.273298092,-0.538997198,2024,Rural
Danurejan,Kota Yogyakarta,0.262520631,0.091702324,-0.274061382,2024,Urban
Depok,Sleman,0.305560652,-0.03640999,-0.501325128,2024,Urban
Gamping,Sleman,0.323854817,-0.117144089,-0.475110256,2024,Urban
Gedongtengen,Kota Yogyakarta,0.245333701,0.09114055,-0.282786432,2024,Urban
Godean,Sleman,0.27832193,-0.146690872,-0.446826711,2024,Urban
Gondokusuman,Kota Yogyakarta,0.290748138,0.060348799,-0.364512843,2024,Urban
Gondomanan,Kota Yogyakarta,0.271555618,0.074449488,-0.299989206,2024,Urban
Jetis,Bantul,0.223161036,-0.167067324,-0.601977547,2024,Rural
Jetis,Kota Yogyakarta,0.272292467,0.078353346,-0.277935601,2024,Urban
Kalasan,Sleman,0.292353034,-0.163965024,-0.492678257,2024,Rural
Kasihan,Bantul,0.297534498,-0.113564546,-0.488096263,2024,Urban
Kotagede,Kota Yogyakarta,0.269607289,0.045965258,-0.456886339,2024,Urban
Kraton,Kota Yogyakarta,0.304374248,0.080721558,-0.293700043,2024,Urban
Mantrijeron,Kota Yogyakarta,0.237524274,0.059129918,-0.391030681,2024,Urban
Mergangsan,Kota Yogyakarta,0.235833528,0.073805754,-0.364913993,2024,Urban
Minggir,Sleman,0.267877448,-0.217516914,-0.521078751,2024,Rural
Mlati,Sleman,0.294714529,-0.103473608,-0.485283091,2024,Urban
Moyudan,Sleman,0.167152471,-0.205326417,-0.516609393,2024,Rural
Ngaglik,Sleman,0.281949134,-0.122552901,-0.458308273,2024,Urban
Ngampilan,Kota Yogyakarta,0.259885785,0.103010407,-0.370977928,2024,Urban
Ngemplak,Sleman,0.287054789,-0.183972854,-0.481455396,2024,Urban
Pajangan,Bantul,0.294356422,-0.184519244,-0.603860849,2024,Rural
Pakem,Sleman,0.636836499,-0.244923493,-0.594983957,2024,Rural
Pakualaman,Kota Yogyakarta,0.242750632,0.092828658,-0.24783093,2024,Urban
Piyungan,Bantul,0.281198333,-0.181363181,-0.481957938,2024,Rural
Pleret,Bantul,0.314218163,-0.165623532,-0.508147777,2024,Rural
Sedayu,Bantul,0.248120301,-0.209743683,-0.519357226,2024,Rural
Sewon,Bantul,0.275939185,-0.121769999,-0.516186131,2024,Urban
Seyegan,Sleman,0.268026058,-0.179514587,-0.433771486,2024,Rural
Sleman,Sleman,0.2827847,-0.16344807,-0.48066395,2024,Rural
Tegalrejo,Kota Yogyakarta,0.265800719,0.048566211,-0.374247207,2024,Urban
Turi,Sleman,0.178852663,-0.275001481,-0.482566852,2024,Rural
Umbulharjo,Kota Yogyakarta,0.343472242,0.03115212,-0.45528007,2024,Urban
Wirobrajan,Kota Yogyakarta,0.263374788,0.071722831,-0.370977928,2024,Urban
